experiment,provider,model,case,scenario,seed,attempt,samples_in_cell,allowed_evidence_ids,latency_ms,raw_shape,provider_error,report_only_rejection,report_only_reached_operator,enforcing_rejection,enforcing_reached_operator,raw_response
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,obvious_fraud,S1,vigil-2026-e5x-anthropic-obvious_fraud,2,3,decision coverage ledger credential I1 I7,1579,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""This handoff has been flagged due to location inconsistencies. The GPS position reported by the device falls far outside the range of the mobile tower it was connected to, and the device indicated its location came from a fake location app. These anomalies have triggered a requirement for operator cosignature before this handoff can proceed."",
  ""nextStep"": ""An operator must review and cosign this handoff."",
  ""citations"": [""I1"", ""I7""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,obvious_fraud,S1,vigil-2026-e5x-anthropic-obvious_fraud,3,3,decision coverage ledger credential I1 I7,1654,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""This handoff has been flagged due to location inconsistencies. The GPS position reported is far outside the range of the mobile tower the device was connected to, and the device indicated its location came from a fake location app. Because the overall inconsistency score exceeds the threshold, an operator must review and cosign this decision before it can proceed."",
  ""nextStep"": ""Await operator cosignature"",
  ""citations"": [""I1"", ""I7""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,ambiguous,S6,vigil-2026-e5x-anthropic-ambiguous,1,3,decision coverage ledger credential,1401,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The handoff has been accepted. No rule violations were detected, and the shipment meets all baseline requirements for this stage."",
  ""nextStep"": ""Proceed to the next logistics operation."",
  ""citations"": [""decision""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,ambiguous,S6,vigil-2026-e5x-anthropic-ambiguous,2,3,decision coverage ledger credential,1356,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The handoff has been accepted. No rule violations were detected, and the shipment meets all baseline requirements for movement."",
  ""nextStep"": ""Proceed with logistics execution."",
  ""citations"": [""decision""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,ambiguous,S6,vigil-2026-e5x-anthropic-ambiguous,3,3,decision coverage ledger credential,1393,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The handoff has been accepted. No rule violations were detected, and the shipment meets all requirements for this stage."",
  ""nextStep"": ""Proceed to the next logistics operation."",
  ""citations"": [""decision""]
}
```"
E5_cross_provider,ollama,qwen2.5:7b,clean,S0,vigil-2026-e5x-ollama-clean,1,3,decision coverage ledger credential,2192,strict_json,,,1,,1,"{""summary"":""The decision to accept the shipment has been made by a deterministic rules engine and is now sealed in the audit ledger."",""nextStep"":""Proceed with the handoff of the shipment."",""citations"":[""decision"",""ledger""]}"
E5_cross_provider,ollama,qwen2.5:7b,clean,S0,vigil-2026-e5x-ollama-clean,2,3,decision coverage ledger credential,1731,strict_json,,,1,,1,"{""summary"":""The decision to accept the shipment has been made by the deterministic rules engine and is now sealed in the audit ledger."",""nextStep"":""Proceed with the handoff of the shipment."",""citations"":[""decision"",""ledger""]}"
E5_cross_provider,ollama,qwen2.5:7b,clean,S0,vigil-2026-e5x-ollama-clean,3,3,decision coverage ledger credential,2664,strict_json,,,1,,1,"{""summary"": ""The shipment has been accepted based on the deterministic rules engine's decision, which is now sealed to the audit ledger. The acceptance was made due to the coverage and credential checks passing."", ""nextStep"": ""Proceed with the next step in the logistics process as per standard procedures."", ""citations"": [""decision"", ""coverage"", ""ledger"", ""credential""]}"
E5_cross_provider,ollama,qwen2.5:7b,obvious_fraud,S1,vigil-2026-e5x-ollama-obvious_fraud,1,3,decision coverage ledger credential I1 I7,3097,strict_json,,,1,,1,"{""summary"": ""The decision to flag this handoff was based on two rules: the GPS position reported by the device is inconsistent with its mobile tower connection, and the location data appears to be from a fake app. The parcel's high value and inconsistency score required operator cosignature."", ""nextStep"": ""Operator must review and cosign before proceeding."", ""citations"": [""I1"", ""I7""]}"
E5_cross_provider,ollama,qwen2.5:7b,obvious_fraud,S1,vigil-2026-e5x-ollama-obvious_fraud,2,3,decision coverage ledger credential I1 I7,3169,strict_json,,,1,,1,"{""summary"": ""The decision to flag this handoff was made based on two rules: the reported GPS position being far outside the range of the mobile tower (I1) and the device reporting its location through a fake location app (I7)."", ""nextStep"": ""An operator must cosign the decision as it requires co-signature due to the parcel's high value and inconsistency score."", ""citations"": [""I1"", ""I7""]}"
E5_cross_provider,ollama,qwen2.5:7b,obvious_fraud,S1,vigil-2026-e5x-ollama-obvious_fraud,3,3,decision coverage ledger credential I1 I7,2915,strict_json,,,1,,1,"{""summary"": ""The decision to flag this handoff was based on two rule violations: the GPS position being outside the expected range and the device using a fake location app. Since both issues are significant, an operator's co-signature is required before proceeding."", ""nextStep"": ""An operator must review and cosign the decision before it can be finalized."", ""citations"": [""I1"", ""I7""]}"
E5_cross_provider,ollama,qwen2.5:7b,ambiguous,S6,vigil-2026-e5x-ollama-ambiguous,1,3,decision coverage ledger credential,1895,strict_json,,,1,,1,"{""summary"":""The decision to accept the shipment has been made by a deterministic rules engine and is now sealed in the audit ledger."",""nextStep"":""Proceed with the shipment as per the accepted criteria."",""citations"":[""decision"",""ledger""]}"
E5_cross_provider,ollama,qwen2.5:7b,ambiguous,S6,vigil-2026-e5x-ollama-ambiguous,2,3,decision coverage ledger credential,2118,strict_json,,,1,,1,"{""summary"": ""The decision to accept the shipment has been made based on the deterministic rules engine's evaluation and is sealed in the audit ledger."", ""nextStep"": ""Proceed with the handoff of the shipment as per the accepted criteria."", ""citations"": [""decision"", ""ledger""]}"
E5_cross_provider,ollama,qwen2.5:7b,ambiguous,S6,vigil-2026-e5x-ollama-ambiguous,3,3,decision coverage ledger credential,2130,strict_json,,,1,,1,"{""summary"": ""The decision to accept the shipment has been made based on the deterministic rules engine's evaluation and is now sealed in the audit ledger."", ""nextStep"": ""Proceed with the handoff of the shipment as per the accepted criteria."", ""citations"": [""decision"", ""ledger""]}"
